,names_2,link_CU,research_interest,pernames,subfaculty,faculty
0,Mai Abbas,https://pureportal.coventry.ac.uk/en/persons/mai-abbas,"Research Interests: Mai’s research interests include food and nutrition security, local food systems, sustainable food production and resource sovereignty. With those interests in mind, she is contributing to the RECOMS ITN with the project Urban agroecology for health and wellbeing. The aim of this research is to investigate the extent to which women’s engagement in resourceful practices in an urban context can impact on their health and wellbeing, also how this engagement can lead to gaining and retaining of knowledge.",,,
1,Jackie Abell,https://pureportal.coventry.ac.uk/en/persons/jackie-abell,"Research Interests: Identity
; Conservation
; Social Psychology
; African Communities; Lion Reintroduction",,,
2,Zahir Ahmad,https://pureportal.coventry.ac.uk/en/persons/zahir-ahmad,Research Interests: Sensor network; V2V communication; Next generation network; Underwater communication; Visible light communication; Optical wireless communication,Zahir Ahmad,"School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing"
3,Abdullahi Ahmed,https://pureportal.coventry.ac.uk/en/persons/abdullahi-ahmed,Research Interests: Energy Policy; Renewable Energy; Transient System Simulation; Indoor Environmental Quality; Building Performance Evaluation; Water efficiency and management; Low carbon retrofit/refurbishment; Building Information Modelling and Management,Abdullahi Ahmed,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
4,Ammar Al Bazi,https://pureportal.coventry.ac.uk/en/persons/ammar-al-bazi,"Research Interests: Spatial simulation
; Visual Process Mapping; Enterprise simulation
; Intelligent simulation
; Monte Carlo simulation
; Heuristic searching engines
; Simulation modelling and optimisation of combinatorial or complex manufacturing systems using Artificial Intelligence tools",Ammar Al Bazi,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
5,Svetlana Aleksandrova,https://pureportal.coventry.ac.uk/en/persons/svetlana-aleksandrova,Research Interests: Computational and experimental fluid dynamics; automotive emissions aftertreatment; Magnetohydrodynamics; ,Svetlana Aleksandrova,Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing"
6,Mustafa Ali,https://pureportal.coventry.ac.uk/en/persons/mustafa-ali,"Research Interests: Design and development of sustainable construction materials using waste and industrial by products.
Design, Development and applications of smart construction materials.

Development and application of geopolymer binder in construction.

Novel cementitious materials, Automatic repairs and self healing.

Durability of cementitious materials.

Applications of composite materials FRP in structural members.

Behaviour of steel/FRP reinforced concrete members at elevated temperature
",Mustafa Ali,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
7,Khaled Al Khudir,https://pureportal.coventry.ac.uk/en/persons/khaled-al-khudir,"Research Interests: Khaled is interested in the general areas of robotics and control. In particular, he has been working on trajectory planning, motion planning, and control for kinematically redundant robots and human-robot collaboration.",Khaled Al Khudir,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
8,John Allen,https://pureportal.coventry.ac.uk/en/persons/john-allen,"Research Interests: Vascular optics and novel microvascular assessment. Optics in Medicine.
Photoplethysmography and pulse wave analysis.
Novel sensor development, signal and image processing.
Endothelial function and tissue viability assessment. 
Cardiovascular physics.
Quantitative and Qualitative research.",John Allen,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
9,Sian Alsop,https://pureportal.coventry.ac.uk/en/persons/sian-alsop,"Research Interests: education, attainment, equity, corpus linguistics, academic writing, language of lectures, data visualisation, computational methods",,,
